"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53900","Cruceros: trae tarifas y muestra el crucero esperado","Climbs - Bloque A: Tarifario","2026-09-08","failed","2026-09-08","Tarifario","bloque-a/tarifario.spec.ts","",""
"","13983","Checkout: el portal no deja emitir una reserva incompleta","Climbs - Bloque B: Reservas","2026-09-08","passed","2026-09-08","Reservas — validaciones","bloque-b/validaciones.spec.ts","",""
"","2676","Login en el front de QA","Login","2026-09-08","passed","2026-09-08","","auth.setup.ts","",""
"","8533","Card: el carrusel trae todas las imagenes del hotel","Climbs - Bloque A: Tarifario","2026-09-08","passed","2026-09-08","Tarifario — filtros y card","bloque-a/filtros-y-card.spec.ts","",""
"","13034","Paquetes: trae tarifas y muestra el paquete esperado","Climbs - Bloque A: Tarifario","2026-09-08","passed","2026-09-08","Tarifario","bloque-a/tarifario.spec.ts","",""
"","35171","Serie: la reserva emitida conserva los datos en el BackOffice","Climbs - Bloque B: Reservas","2026-09-08","passed","2026-09-08","Reservas","bloque-b/reservas-series.spec.ts","",""
"","35895","Excursiones: trae tarifas y muestra la excursion esperada","Climbs - Bloque A: Tarifario","2026-09-08","passed","2026-09-08","Tarifario","bloque-a/tarifario.spec.ts","",""
"","37178","Cena Show: trae tarifas y coinciden con las de la base","Climbs - Bloque A: Tarifario","2026-09-08","passed","2026-09-08","Tarifario","bloque-a/tarifario.spec.ts","",""
"","51309","Orden de cobro: cobra el comprobante del cliente en la caja de regresion","Climbs - Bloque C: Cobranzas","2026-09-08","passed","2026-09-08","Cobranzas","bloque-c/cobranzas.spec.ts","",""
"","62551","Orden de pago: cancela la factura del proveedor desde la caja de regresion","Climbs - Bloque C: Cobranzas","2026-09-08","passed","2026-09-08","Cobranzas","bloque-c/cobranzas.spec.ts","",""
"","50572","El tarifario muestra hoteles, paquetes y ofertas en el idioma elegido","Climbs - Bloque A: Tarifario","2026-09-08","passed","2026-09-08","Tarifario — multiidioma del encabezado","bloque-a/multiidioma.spec.ts","",""
"","8166","Cabecera: el contador, los chips de categoria y Limpiar acompanan al listado","Climbs - Bloque A: Tarifario","2026-09-08","passed","2026-09-08","Tarifario — filtros y card","bloque-a/filtros-y-card.spec.ts","",""
