FECHAS | SGL | DBL | TPL
01/04/2026 - 30/09/2026 Todos los días | USD 860 | USD 430 | USD 340
01/10/2026 - 27/12/2026 Todos los días | USD 1,000 | USD 500 | USD 387
03/01/2027 - 31/03/2027 Todos los días | USD 1,000 | USD 500 | USD 387
01/04/2027 - 30/06/2027 Todos los días | USD 860 | USD 430 | USD 340
01/07/2027 - 30/09/2027 Todos los días | USD 946 TARIFA EXTENDIDA | USD 473 TARIFA EXTENDIDA | USD 374 TARIFA EXTENDIDA
01/10/2027 - 27/12/2027 Todos los días | USD 1,100 TARIFA EXTENDIDA | USD 550 TARIFA EXTENDIDA | USD 426 TARIFA EXTENDIDA
03/01/2028 - 28/02/2028 Todos los días | USD 1,100 TARIFA EXTENDIDA | USD 550 TARIFA EXTENDIDA | USD 426 TARIFA EXTENDIDA
01/03/2028 - 31/03/2028 Todos los días | USD 1,100 TARIFA EXTENDIDA | USD 550 TARIFA EXTENDIDA | USD 426 TARIFA EXTENDIDA
01/04/2028 - 30/09/2028 Todos los días | USD 946 TARIFA EXTENDIDA | USD 473 TARIFA EXTENDIDA | USD 374 TARIFA EXTENDIDA
01/10/2028 - 27/12/2028 Todos los días | USD 1,100 TARIFA EXTENDIDA | USD 550 TARIFA EXTENDIDA | USD 426 TARIFA EXTENDIDA
03/01/2029 - 31/03/2029 Todos los días | USD 1,100 TARIFA EXTENDIDA | USD 550 TARIFA EXTENDIDA | USD 426 TARIFA EXTENDIDA
01/04/2029 - 30/09/2029 Todos los días | USD 946 TARIFA EXTENDIDA | USD 473 TARIFA EXTENDIDA | USD 374 TARIFA EXTENDIDA
01/10/2029 - 27/12/2029 Todos los días | USD 1,100 TARIFA EXTENDIDA | USD 550 TARIFA EXTENDIDA | USD 426 TARIFA EXTENDIDA
