OP0000038095 | 22/09/2026 15:44 | P | USD | -6 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | GRUPO SUMMA SRL | Orden de pago de regresio..
OC0000020187 | 22/09/2026 15:44 | C | USD | 10 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | MULTIVIAJES ARGENTINA SRL | Orden de cobro de regresi..
OP0000038093 | 22/09/2026 12:25 | P | USD | -6 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | GRUPO SUMMA SRL | Orden de pago de regresio..
OC0000020186 | 22/09/2026 12:24 | C | USD | 10 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | MULTIVIAJES ARGENTINA SRL | Orden de cobro de regresi..
OP0000038092 | 22/09/2026 12:23 | P | USD | -6 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | GRUPO SUMMA SRL | Orden de pago de regresio..
OP0000038091 | 22/09/2026 12:20 | P | USD | -6 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | GRUPO SUMMA SRL | Orden de pago de regresio..
OC0000020185 | 22/09/2026 12:20 | C | USD | 10 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | MULTIVIAJES ARGENTINA SRL | Orden de cobro de regresi..
OP0000038089 | 22/09/2026 10:27 | P | USD | -6 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | GRUPO SUMMA SRL | Orden de pago de regresio..
OC0000020184 | 22/09/2026 10:26 | C | USD | 10 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | MULTIVIAJES ARGENTINA SRL | Orden de cobro de regresi..
OP0000038088 | 22/09/2026 10:25 | P | USD | -6 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | GRUPO SUMMA SRL | Orden de pago de regresio..
OP0000038087 | 22/09/2026 10:20 | P | USD | -6 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | GRUPO SUMMA SRL | Orden de pago de regresio..
OC0000020183 | 22/09/2026 10:20 | C | USD | 10 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | MULTIVIAJES ARGENTINA SRL | Orden de cobro de regresi..
OP0000038085 | 22/09/2026 09:53 | P | USD | -6 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | GRUPO SUMMA SRL | Orden de pago de regresio..
OP0000038084 | 22/09/2026 09:52 | P | USD | -6 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | GRUPO SUMMA SRL | Orden de pago de regresio..
OC0000020182 | 22/09/2026 09:52 | C | USD | 10 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | MULTIVIAJES ARGENTINA SRL | Orden de cobro de regresi..
OP0000038083 | 22/09/2026 09:47 | P | USD | -6 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | GRUPO SUMMA SRL | Orden de pago de regresio..
OC0000020181 | 22/09/2026 09:47 | C | USD | 10 | 1.000 | AUTO-QA NO TOCAR - CAJA USD | MULTIVIAJES ARGENTINA SRL | Orden de cobro de regresi..
